Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,15pf,
"C13, C14",0402,2,1uf,
"C15, C16, C5, C6, C7, C8",0402,6,100nf,
"C3, C4",0402,2,10uf,
D1,0402,1,LD274,
IC1,SOT230P700X180-4N,1,NCP1117ST33T3G,
J1,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,USB_B_Micro,
J2,PinHeader_1x02_P1.27mm_Vertical,1,Conn_01x02,
"R1, R2",0402,2,1K,
"R3, R4",0402,2,27ohms,
R5,0402,1,220ohms,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
Y1,ABM8272T3,1,ABM8-272-T3,
